timestamp,agent,session_file,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,is_error,models_used,model_costs_json
2026-03-05T02:00:11,max,session_20260305_020011.jsonl,0.8509156499999997,52,66453,769254,2635,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-sonnet-4-5-20250929"":{""cost"":0.7563741499999999,""in"":78,""out"":4191,""cache_read"":775688,""cache_create"":117485},""claude-haiku-4-5-20251001"":{""cost"":0.09454149999999999,""in"":68329,""out"":1055,""cache_read"":0,""cache_create"":16750}}"
2026-03-05T10:00:11,max,session_20260305_100011.jsonl,0.7805017,67,43710,583278,2597,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-sonnet-4-5-20250929"":{""cost"":0.7156453,""in"":107,""out"":5198,""cache_read"":653981,""cache_create"":106976},""claude-haiku-4-5-20251001"":{""cost"":0.06485639999999998,""in"":52348,""out"":875,""cache_read"":11134,""cache_create"":5616}}"
2026-03-05T18:00:11,max,session_20260305_180011.jsonl,0.6242548500000001,62,60954,549592,3115,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-sonnet-4-5-20250929"":{""cost"":0.53897535,""in"":68,""out"":3325,""cache_read"":549592,""cache_create"":86405},""claude-haiku-4-5-20251001"":{""cost"":0.08527950000000001,""in"":59737,""out"":921,""cache_read"":0,""cache_create"":16750}}"
2026-03-05T04:00:10,beth,session_20260305_040010.jsonl,0.5575098499999999,46,45130,759657,2547,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.06865639999999999,""in"":55663,""out"":935,""cache_read"":11134,""cache_create"":5764},""claude-sonnet-4-5-20250929"":{""cost"":0.48885344999999997,""in"":52,""out"":2996,""cache_read"":774129,""cache_create"":56405}}"
2026-03-05T12:00:11,beth,session_20260305_120011.jsonl,0.6740829500000003,46,63758,656789,3191,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-sonnet-4-5-20250929"":{""cost"":0.58608645,""in"":52,""out"":3550,""cache_read"":656789,""cache_create"":89505},""claude-haiku-4-5-20251001"":{""cost"":0.08799650000000002,""in"":62259,""out"":923,""cache_read"":0,""cache_create"":16898}}"
2026-03-05T20:00:10,beth,session_20260305_200010.jsonl,0.7600374,88,65037,826053,4502,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.09724949999999996,""in"":70817,""out"":1062,""cache_read"":0,""cache_create"":16898},""claude-sonnet-4-5-20250929"":{""cost"":0.6627879000000001,""in"":94,""out"":4950,""cache_read"":826053,""cache_create"":90784}}"
2026-03-05T06:00:10,susan,session_20260305_060010.jsonl,0.6699284999999999,89,62215,556160,5517,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-sonnet-4-5-20250929"":{""cost"":0.5838705,""in"":95,""out"":5569,""cache_read"":556160,""cache_create"":88854},""claude-haiku-4-5-20251001"":{""cost"":0.08605800000000004,""in"":57963,""out"":1283,""cache_read"":0,""cache_create"":17344}}"
2026-03-05T14:00:12,susan,session_20260305_140012.jsonl,0.5357001999999997,57,55757,360654,2549,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.073045,""in"":47010,""out"":871,""cache_read"":0,""cache_create"":17344},""claude-sonnet-4-5-20250929"":{""cost"":0.4626552,""in"":63,""out"":3019,""cache_read"":360654,""cache_create"":82396}}"
2026-03-05T22:00:10,susan,session_20260305_220010.jsonl,0.9666963499999996,2070,62418,783069,5064,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-sonnet-4-5-20250929"":{""cost"":0.8788393499999999,""in"":2106,""out"":6849,""cache_read"":789842,""cache_create"":134089},""claude-haiku-4-5-20251001"":{""cost"":0.08785699999999999,""in"":60867,""out"":1062,""cache_read"":0,""cache_create"":17344}}"
2026-03-05T00:20:11,debater,session_20260305_002011.jsonl,0.5830448,65,59670,451316,2599,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.07902575,""in"":53077,""out"":894,""cache_read"":0,""cache_create"":17183},""claude-sonnet-4-5-20250929"":{""cost"":0.50401905,""in"":71,""out"":3064,""cache_read"":451316,""cache_create"":85987}}"
