timestamp,agent,session_file,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,is_error,models_used,model_costs_json
2026-02-24T00:00:02,max,session_20260224_000002.jsonl,0.7400768499999999,48,64898,685467,2521,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929;claude-opus-4-5-20251101,"{""claude-haiku-4-5-20251001"":{""cost"":0.08388649999999999,""in"":58929,""out"":879,""cache_read"":0,""cache_create"":16450},""claude-sonnet-4-5-20250929"":{""cost"":0.4869666,""in"":48,""out"":2521,""cache_read"":685467,""cache_create"":64898},""claude-opus-4-5-20251101"":{""cost"":0.16922375,""in"":6,""out"":556,""cache_read"":0,""cache_create"":24847}}"
2026-02-24T03:00:02,max,session_20260224_030002.jsonl,0.7441154500000001,43,40761,932755,3339,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.0788124,""in"":65509,""out"":1109,""cache_read"":11134,""cache_create"":5316},""claude-opus-4-5-20251101"":{""cost"":0.10422825,""in"":6,""out"":517,""cache_read"":11134,""cache_create"":13713},""claude-sonnet-4-5-20250929"":{""cost"":0.5610748000000001,""in"":53,""out"":4039,""cache_read"":935011,""cache_create"":55954}}"
2026-02-24T06:00:02,max,session_20260224_060002.jsonl,0.7729882,920,47553,751488,2695,False,claude-sonnet-4-5-20250929;claude-opus-4-5-20251101;claude-haiku-4-5-20251001,"{""claude-sonnet-4-5-20250929"":{""cost"":0.6063105499999999,""in"":940,""out"":3770,""cache_read"":756006,""cache_create"":80037},""claude-opus-4-5-20251101"":{""cost"":0.10245325,""in"":6,""out"":446,""cache_read"":11134,""cache_create"":13713},""claude-haiku-4-5-20251001"":{""cost"":0.0642244,""in"":51941,""out"":905,""cache_read"":11134,""cache_create"":5316}}"
2026-02-24T09:00:02,max,session_20260224_090002.jsonl,0.8974599000000001,39,48724,922283,3469,False,claude-opus-4-5-20251101;claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-opus-4-5-20251101"":{""cost"":0.09677825,""in"":6,""out"":219,""cache_read"":11134,""cache_create"":13713},""claude-sonnet-4-5-20250929"":{""cost"":0.5910452499999999,""in"":49,""out"":4121,""cache_read"":924540,""cache_create"":64459},""claude-haiku-4-5-20251001"":{""cost"":0.20963640000000003,""in"":196043,""out"":1167,""cache_read"":11134,""cache_create"":5316}}"
2026-02-24T12:00:01,max,session_20260224_120001.jsonl,0.5901251499999999,49,51788,657065,1987,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.06749539999999998,""in"":56192,""out"":709,""cache_read"":11134,""cache_create"":5316},""claude-opus-4-5-20251101"":{""cost"":0.10135325,""in"":6,""out"":402,""cache_read"":11134,""cache_create"":13713},""claude-sonnet-4-5-20250929"":{""cost"":0.4212765,""in"":49,""out"":1987,""cache_read"":657065,""cache_create"":51788}}"
2026-02-24T15:00:02,max,session_20260224_150002.jsonl,0.6637640000000001,975,48378,882632,3119,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.09829075,""in"":6,""out"":206,""cache_read"":11134,""cache_create"":14007},""claude-haiku-4-5-20251001"":{""cost"":0.06955615000000001,""in"":56989,""out"":925,""cache_read"":11134,""cache_create"":5463},""claude-sonnet-4-5-20250929"":{""cost"":0.49591709999999994,""in"":975,""out"":3119,""cache_read"":882632,""cache_create"":48378}}"
2026-02-24T18:00:02,max,session_20260224_180002.jsonl,0.6683466999999998,51,48095,671154,2374,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.06754715,""in"":55125,""out"":896,""cache_read"":11134,""cache_create"":5463},""claude-opus-4-5-20251101"":{""cost"":0.10331574999999998,""in"":6,""out"":407,""cache_read"":11134,""cache_create"":14007},""claude-sonnet-4-5-20250929"":{""cost"":0.4974837999999999,""in"":61,""out"":3041,""cache_read"":673411,""cache_create"":63910}}"
2026-02-24T01:00:02,beth,session_20260224_010002.jsonl,0.70370865,77,45353,798670,3174,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929;claude-opus-4-5-20251101,"{""claude-haiku-4-5-20251001"":{""cost"":0.0660094,""in"":53666,""out"":880,""cache_read"":11134,""cache_create"":5464},""claude-sonnet-4-5-20250929"":{""cost"":0.534946,""in"":87,""out"":3796,""cache_read"":800925,""cache_create"":60658},""claude-opus-4-5-20251101"":{""cost"":0.10275325,""in"":6,""out"":384,""cache_read"":11134,""cache_create"":14009}}"
2026-02-24T04:00:02,beth,session_20260224_040002.jsonl,0.7054070999999997,80,51127,742530,3181,False,claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001;claude-opus-4-5-20251101,"{""claude-sonnet-4-5-20250929"":{""cost"":0.5324174500000001,""in"":90,""out"":4113,""cache_read"":746704,""cache_create"":63051},""claude-haiku-4-5-20251001"":{""cost"":0.07038640000000003,""in"":57723,""out"":944,""cache_read"":11134,""cache_create"":5464},""claude-opus-4-5-20251101"":{""cost"":0.10260325000000001,""in"":6,""out"":378,""cache_read"":11134,""cache_create"":14009}}"
2026-02-24T07:00:02,beth,session_20260224_070002.jsonl,0.5990578999999999,54,41425,793045,2849,False,claude-haiku-4-5-20251001;claude-opus-4-5-20251101;claude-sonnet-4-5-20250929,"{""claude-haiku-4-5-20251001"":{""cost"":0.06180040000000001,""in"":49142,""out"":943,""cache_read"":11134,""cache_create"":5464},""claude-opus-4-5-20251101"":{""cost"":0.10110325,""in"":6,""out"":318,""cache_read"":11134,""cache_create"":14009},""claude-sonnet-4-5-20250929"":{""cost"":0.43615425,""in"":54,""out"":2849,""cache_read"":793045,""cache_create"":41425}}"
