timestamp,agent,session_file,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,is_error,models_used,model_costs_json
2026-03-30T02:00:10,max,session_20260330_020010.jsonl,0.38314195,17,43350,64374,816,False,claude-opus-4-5-20251101;claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929,"{""claude-opus-4-5-20251101"":{""cost"":0.13942374999999999,""in"":6,""out"":250,""cache_read"":0,""cache_create"":21303},""claude-haiku-4-5-20251001"":{""cost"":0.04955250000000001,""in"":29600,""out"":464,""cache_read"":0,""cache_create"":14106},""claude-sonnet-4-5-20250929"":{""cost"":0.19416569999999997,""in"":17,""out"":816,""cache_read"":64374,""cache_create"":43350}}"
2026-03-30T00:20:14,debater,session_20260330_002014.jsonl,0.7127023499999999,77,45670,895467,5140,False,claude-opus-4-5-20251101;claude-sonnet-4-5-20250929;claude-haiku-4-5-20251001,"{""claude-opus-4-5-20251101"":{""cost"":0.13464875,""in"":6,""out"":56,""cache_read"":0,""cache_create"":21315},""claude-sonnet-4-5-20250929"":{""cost"":0.5172336,""in"":77,""out"":5140,""cache_read"":895467,""cache_create"":45670},""claude-haiku-4-5-20251001"":{""cost"":0.06081999999999999,""in"":37095,""out"":1217,""cache_read"":0,""cache_create"":14112}}"
2026-03-30T00:00:12,private_aye,session_20260330_000012.jsonl,0.78321745,65,61794,848244,3469,False,claude-haiku-4-5-20251001;claude-sonnet-4-5-20250929;claude-opus-4-5-20251101,"{""claude-haiku-4-5-20251001"":{""cost"":0.09523800000000002,""in"":70628,""out"":1239,""cache_read"":0,""cache_create"":14732},""claude-sonnet-4-5-20250929"":{""cost"":0.5384307,""in"":65,""out"":3469,""cache_read"":848244,""cache_create"":61794},""claude-opus-4-5-20251101"":{""cost"":0.14954875,""in"":6,""out"":342,""cache_read"":0,""cache_create"":22555}}"
